年,週,月,開始日,終了日,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2025,15,4,2025-04-07,2025-04-13,総数,181270,49.38
2025,15,4,2025-04-07,2025-04-13,北海道,7908,48.81
2025,15,4,2025-04-07,2025-04-13,青森県,2313,46.26
2025,15,4,2025-04-07,2025-04-13,岩手県,3738,86.93
2025,15,4,2025-04-07,2025-04-13,宮城県,3622,65.85
2025,15,4,2025-04-07,2025-04-13,秋田県,2149,93.43
2025,15,4,2025-04-07,2025-04-13,山形県,2788,73.37
2025,15,4,2025-04-07,2025-04-13,福島県,2549,54.23
2025,15,4,2025-04-07,2025-04-13,茨城県,3996,58.76
2025,15,4,2025-04-07,2025-04-13,栃木県,4424,94.13
2025,15,4,2025-04-07,2025-04-13,群馬県,3179,72.25
2025,15,4,2025-04-07,2025-04-13,埼玉県,9747,62.88
2025,15,4,2025-04-07,2025-04-13,千葉県,8379,56.61
2025,15,4,2025-04-07,2025-04-13,東京都,16744,44.65
2025,15,4,2025-04-07,2025-04-13,神奈川県,12187,56.16
2025,15,4,2025-04-07,2025-04-13,新潟県,3398,65.35
2025,15,4,2025-04-07,2025-04-13,富山県,3283,71.37
2025,15,4,2025-04-07,2025-04-13,石川県,2598,54.13
2025,15,4,2025-04-07,2025-04-13,福井県,1771,45.41
2025,15,4,2025-04-07,2025-04-13,山梨県,1168,33.37
2025,15,4,2025-04-07,2025-04-13,長野県,3954,48.81
2025,15,4,2025-04-07,2025-04-13,岐阜県,1718,39.95
2025,15,4,2025-04-07,2025-04-13,静岡県,3814,27.44
2025,15,4,2025-04-07,2025-04-13,愛知県,7904,50.67
2025,15,4,2025-04-07,2025-04-13,三重県,2637,37.67
2025,15,4,2025-04-07,2025-04-13,滋賀県,2067,40.53
2025,15,4,2025-04-07,2025-04-13,京都府,2560,41.97
2025,15,4,2025-04-07,2025-04-13,大阪府,9807,33.7
2025,15,4,2025-04-07,2025-04-13,兵庫県,6597,43.98
2025,15,4,2025-04-07,2025-04-13,奈良県,1577,39.43
2025,15,4,2025-04-07,2025-04-13,和歌山県,1608,35.73
2025,15,4,2025-04-07,2025-04-13,鳥取県,1623,55.97
2025,15,4,2025-04-07,2025-04-13,島根県,956,50.32
2025,15,4,2025-04-07,2025-04-13,岡山県,2536,50.72
2025,15,4,2025-04-07,2025-04-13,広島県,3817,41.95
2025,15,4,2025-04-07,2025-04-13,山口県,3474,55.14
2025,15,4,2025-04-07,2025-04-13,徳島県,1240,36.47
2025,15,4,2025-04-07,2025-04-13,香川県,1542,39.54
2025,15,4,2025-04-07,2025-04-13,愛媛県,2749,72.34
2025,15,4,2025-04-07,2025-04-13,高知県,1040,27.37
2025,15,4,2025-04-07,2025-04-13,福岡県,4267,35.56
2025,15,4,2025-04-07,2025-04-13,佐賀県,1343,58.39
2025,15,4,2025-04-07,2025-04-13,長崎県,3378,66.24
2025,15,4,2025-04-07,2025-04-13,熊本県,3117,45.17
2025,15,4,2025-04-07,2025-04-13,大分県,2861,49.33
2025,15,4,2025-04-07,2025-04-13,宮崎県,1517,54.18
2025,15,4,2025-04-07,2025-04-13,鹿児島県,3345,58.68
2025,15,4,2025-04-07,2025-04-13,沖縄県,2281,50.69
