年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,08,総数,327429,86.46
2026,08,北海道,12503,74.87
2026,08,青森県,3623,69.67
2026,08,岩手県,5138,122.33
2026,08,宮城県,5293,96.24
2026,08,秋田県,1513,60.52
2026,08,山形県,3530,92.89
2026,08,福島県,4730,98.54
2026,08,茨城県,6892,102.87
2026,08,栃木県,5826,123.96
2026,08,群馬県,5281,117.36
2026,08,埼玉県,21762,124.35
2026,08,千葉県,17189,96.03
2026,08,東京都,35809,85.87
2026,08,神奈川県,23673,99.05
2026,08,新潟県,4526,87.04
2026,08,富山県,5152,109.62
2026,08,石川県,4637,98.66
2026,08,福井県,2119,54.33
2026,08,山梨県,1913,54.66
2026,08,長野県,5393,107.86
2026,08,岐阜県,2718,60.4
2026,08,静岡県,9203,66.21
2026,08,愛知県,16477,101.09
2026,08,三重県,5171,74.94
2026,08,滋賀県,4539,78.26
2026,08,京都府,5405,84.45
2026,08,大阪府,16932,58.39
2026,08,兵庫県,12775,77.9
2026,08,奈良県,3133,74.6
2026,08,和歌山県,2962,65.82
2026,08,鳥取県,1914,66
2026,08,島根県,1242,65.37
2026,08,岡山県,4292,85.84
2026,08,広島県,6551,70.44
2026,08,山口県,6902,109.56
2026,08,徳島県,2095,63.48
2026,08,香川県,1443,62.74
2026,08,愛媛県,3902,105.46
2026,08,高知県,1987,52.29
2026,08,福岡県,10866,89.07
2026,08,佐賀県,1877,78.21
2026,08,長崎県,4917,96.41
2026,08,熊本県,7143,99.21
2026,08,大分県,6155,106.12
2026,08,宮崎県,2240,80
2026,08,鹿児島県,4971,87.21
2026,08,沖縄県,3115,69.22
