報告数・定点当り報告数、疾病・都道府県別,,
2025年15週,2025年04月16日作成,
,急性呼吸器感染症,
,報告,定当
総数,181270,49.38
北海道,7908,48.81
青森県,2313,46.26
岩手県,3738,86.93
宮城県,3622,65.85
秋田県,2149,93.43
山形県,2788,73.37
福島県,2549,54.23
茨城県,3996,58.76
栃木県,4424,94.13
群馬県,3179,72.25
埼玉県,9747,62.88
千葉県,8379,56.61
東京都,16744,44.65
神奈川県,12187,56.16
新潟県,3398,65.35
富山県,3283,71.37
石川県,2598,54.13
福井県,1771,45.41
山梨県,1168,33.37
長野県,3954,48.81
岐阜県,1718,39.95
静岡県,3814,27.44
愛知県,7904,50.67
三重県,2637,37.67
滋賀県,2067,40.53
京都府,2560,41.97
大阪府,9807,33.7
兵庫県,6597,43.98
奈良県,1577,39.43
和歌山県,1608,35.73
鳥取県,1623,55.97
島根県,956,50.32
岡山県,2536,50.72
広島県,3817,41.95
山口県,3474,55.14
徳島県,1240,36.47
香川県,1542,39.54
愛媛県,2749,72.34
高知県,1040,27.37
福岡県,4267,35.56
佐賀県,1343,58.39
長崎県,3378,66.24
熊本県,3117,45.17
大分県,2861,49.33
宮崎県,1517,54.18
鹿児島県,3345,58.68
沖縄県,2281,50.69
