年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,百日咳_報告,百日咳_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当
2013,05,総数,177271,35.82,1650,,824,0.26,5908,1.87,24516,7.77,3100,0.98,612,0.19,198,0.06,1466,0.46,30,0.01,54,0.02,737,0.23,23,0.03,345,0.50,7,0.02,6,0.01,358,0.77,18,0.04
2013,05,北海道,8843,38.96,71,,35,0.24,459,3.21,385,2.69,101,0.71,12,0.08,3,0.02,48,0.34,-,-,-,-,7,0.05,1,0.03,12,0.41,-,-,-,-,17,0.74,-,-
2013,05,青森県,2162,33.78,14,,7,0.17,50,1.22,232,5.66,31,0.76,3,0.07,1,0.02,18,0.44,1,0.02,-,-,20,0.49,1,0.09,5,0.45,-,-,-,-,14,2.33,-,-
2013,05,岩手県,2213,34.58,8,,2,0.05,52,1.30,199,4.98,20,0.50,3,0.08,15,0.38,14,0.35,-,-,-,-,34,0.85,-,-,3,0.21,-,-,-,-,20,1.05,-,-
2013,05,宮城県,2603,27.99,21,,16,0.28,97,1.67,346,5.97,69,1.19,15,0.26,11,0.19,35,0.60,1,0.02,1,0.02,35,0.60,-,-,3,0.25,-,-,-,-,33,2.75,1,0.08
2013,05,秋田県,1546,28.11,8,,11,0.31,57,1.63,250,7.14,24,0.69,3,0.09,-,-,11,0.31,1,0.03,-,-,26,0.74,-,-,3,0.43,-,-,-,-,9,1.13,-,-
2013,05,山形県,1569,32.69,4,,25,0.83,107,3.57,222,7.40,26,0.87,1,0.03,-,-,14,0.47,-,-,-,-,15,0.50,1,0.13,3,0.38,1,0.10,-,-,10,1.00,-,-
2013,05,福島県,2693,35.43,22,,12,0.27,101,2.24,288,6.40,35,0.78,18,0.40,2,0.04,12,0.27,-,-,-,-,13,0.29,-,-,6,0.50,-,-,-,-,19,2.71,3,0.43
2013,05,茨城県,4100,34.17,26,,14,0.19,133,1.77,682,9.09,43,0.57,30,0.40,6,0.08,24,0.32,-,-,1,0.01,10,0.13,-,-,8,0.47,-,-,-,-,9,0.69,-,-
2013,05,栃木県,2082,27.76,11,,2,0.04,68,1.45,249,5.30,30,0.64,5,0.11,4,0.09,22,0.47,2,0.04,-,-,9,0.19,-,-,8,0.67,-,-,-,-,10,1.43,2,0.29
2013,05,群馬県,2595,26.48,10,,7,0.12,71,1.18,413,6.88,60,1.00,14,0.23,-,-,23,0.38,-,-,-,-,20,0.33,-,-,14,1.00,-,-,-,-,12,1.50,-,-
2013,05,埼玉県,10266,41.56,51,,44,0.28,310,1.96,1344,8.51,140,0.89,15,0.09,5,0.03,77,0.49,1,0.01,3,0.02,40,0.25,1,0.02,18,0.43,-,-,-,-,14,1.56,-,-
2013,05,千葉県,8973,42.53,36,,25,0.19,378,2.89,996,7.60,112,0.85,8,0.06,1,0.01,55,0.42,2,0.02,3,0.02,35,0.27,-,-,15,0.44,-,-,-,-,6,0.67,1,0.11
2013,05,東京都,15006,35.90,125,,54,0.20,584,2.21,2101,7.96,155,0.59,24,0.09,30,0.11,134,0.51,-,-,3,0.01,38,0.14,1,0.03,23,0.64,-,-,2,0.08,13,0.54,2,0.08
2013,05,神奈川県,12667,37.70,47,,30,0.14,361,1.73,1383,6.62,129,0.62,28,0.13,15,0.07,116,0.56,-,-,2,0.01,43,0.21,1,0.02,28,0.62,-,-,-,-,5,0.63,1,0.13
2013,05,新潟県,4903,51.61,7,,24,0.40,179,2.98,364,6.07,52,0.87,23,0.38,11,0.18,27,0.45,-,-,8,0.13,5,0.08,2,0.20,6,0.60,-,-,-,-,9,0.69,2,0.15
2013,05,富山県,1676,34.92,11,,14,0.48,146,5.03,281,9.69,15,0.52,5,0.17,7,0.24,12,0.41,-,-,2,0.07,2,0.07,1,0.14,1,0.14,-,-,-,-,3,0.60,-,-
2013,05,石川県,1543,32.15,-,,14,0.48,175,6.03,182,6.28,5,0.17,13,0.45,1,0.03,9,0.31,-,-,-,-,-,-,-,-,1,0.14,-,-,-,-,10,2.00,-,-
2013,05,福井県,751,23.47,16,,6,0.27,65,2.95,239,10.86,29,1.32,1,0.05,-,-,11,0.50,1,0.05,1,0.05,22,1.00,-,-,2,0.67,-,-,-,-,1,0.17,-,-
