年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,百日咳_報告,百日咳_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当
2013,47,総数,1319,0.27,4092,,1454,0.46,4667,1.49,21088,6.72,3617,1.15,1993,0.64,188,0.06,1525,0.49,27,0.01,208,0.07,679,0.22,8,0.01,417,0.61,8,0.02,17,0.04,210,0.45,13,0.03,12,0.03
2013,47,北海道,293,1.29,220,,82,0.57,444,3.10,618,4.32,258,1.80,104,0.73,3,0.02,45,0.31,-,-,15,0.10,14,0.10,2,0.07,7,0.24,-,-,1,0.04,12,0.52,-,-,-,-
2013,47,青森県,-,-,58,,27,0.66,22,0.54,60,1.46,58,1.41,7,0.17,1,0.02,12,0.29,-,-,-,-,8,0.20,1,0.09,6,0.55,-,-,-,-,5,0.83,-,-,-,-
2013,47,岩手県,49,0.78,95,,6,0.15,74,1.85,129,3.23,111,2.78,10,0.25,4,0.10,19,0.48,1,0.03,-,-,19,0.48,-,-,7,0.50,-,-,-,-,29,1.53,-,-,1,0.05
2013,47,宮城県,7,0.08,67,,9,0.16,127,2.19,184,3.17,54,0.93,51,0.88,43,0.74,34,0.59,-,-,3,0.05,36,0.62,-,-,-,-,-,-,-,-,16,1.33,-,-,-,-
2013,47,秋田県,18,0.33,25,,5,0.14,42,1.20,92,2.63,25,0.71,9,0.26,-,-,7,0.20,-,-,3,0.09,3,0.09,-,-,4,0.57,-,-,-,-,1,0.13,-,-,-,-
2013,47,山形県,1,0.02,97,,32,1.07,152,5.07,129,4.30,18,0.60,8,0.27,1,0.03,15,0.50,-,-,7,0.23,4,0.13,-,-,10,1.25,-,-,-,-,6,0.60,1,0.10,-,-
2013,47,福島県,17,0.22,89,,3,0.07,67,1.49,183,4.07,56,1.24,30,0.67,1,0.02,24,0.53,2,0.04,5,0.11,38,0.84,-,-,10,0.83,-,-,-,-,11,1.57,-,-,-,-
2013,47,茨城県,41,0.34,67,,18,0.24,93,1.24,505,6.73,63,0.84,12,0.16,-,-,27,0.36,-,-,2,0.03,2,0.03,1,0.06,14,0.82,-,-,-,-,8,0.62,-,-,-,-
2013,47,栃木県,33,0.43,93,,5,0.10,36,0.75,144,3.00,27,0.56,4,0.08,-,-,21,0.44,-,-,-,-,1,0.02,-,-,6,0.50,1,0.14,-,-,13,1.86,3,0.43,-,-
2013,47,群馬県,5,0.05,165,,4,0.07,118,1.97,406,6.77,58,0.97,12,0.20,2,0.03,20,0.33,1,0.02,3,0.05,10,0.17,-,-,14,1.08,-,-,-,-,8,1.00,-,-,1,0.13
2013,47,埼玉県,78,0.32,202,,79,0.50,244,1.55,1696,10.80,203,1.29,63,0.40,6,0.04,95,0.61,4,0.03,5,0.03,45,0.29,-,-,12,0.29,-,-,-,-,7,0.70,-,-,2,0.20
