年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,百日咳_報告,百日咳_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当
2016,27,総数,133,0.03,432,,1932,0.61,8027,2.54,14368,4.55,1210,0.38,2008,0.64,1249,0.40,1751,0.55,96,0.03,9920,3.14,3838,1.21,12,0.02,586,0.85,9,0.02,34,0.07,365,0.77,8,0.02,33,0.07
2016,27,北海道,7,0.03,70,,126,0.89,524,3.69,341,2.40,71,0.50,18,0.13,45,0.32,63,0.44,1,0.01,28,0.20,259,1.82,-,-,17,0.61,-,-,-,-,17,0.74,1,0.04,11,0.48
2016,27,青森県,-,-,10,,21,0.50,69,1.64,95,2.26,21,0.50,1,0.02,21,0.50,28,0.67,-,-,2,0.05,21,0.50,-,-,4,0.36,1,0.17,-,-,5,0.83,-,-,-,-
2016,27,岩手県,-,-,2,,18,0.45,115,2.88,162,4.05,20,0.50,1,0.03,3,0.08,22,0.55,-,-,10,0.25,35,0.88,-,-,13,0.93,-,-,1,0.05,7,0.37,-,-,-,-
2016,27,宮城県,-,-,1,,43,0.73,180,3.05,267,4.53,33,0.56,21,0.36,7,0.12,48,0.81,-,-,60,1.02,25,0.42,-,-,2,0.17,1,0.08,-,-,8,0.67,-,-,-,-
2016,27,秋田県,2,0.04,2,,8,0.23,54,1.54,107,3.06,12,0.34,-,-,17,0.49,13,0.37,5,0.14,3,0.09,9,0.26,-,-,2,0.29,-,-,-,-,4,0.50,-,-,3,0.38
2016,27,山形県,-,-,-,,37,1.23,154,5.13,110,3.67,13,0.43,2,0.07,26,0.87,16,0.53,1,0.03,13,0.43,72,2.40,-,-,-,-,-,-,1,0.10,2,0.20,-,-,4,0.40
2016,27,福島県,-,-,6,,50,1.09,84,1.83,149,3.24,19,0.41,6,0.13,32,0.70,28,0.61,-,-,39,0.85,17,0.37,-,-,6,0.50,-,-,-,-,3,0.43,3,0.43,1,0.14
2016,27,茨城県,1,0.01,2,,44,0.59,122,1.63,266,3.55,30,0.40,71,0.95,23,0.31,35,0.47,-,-,131,1.75,72,0.96,-,-,30,1.76,1,0.08,-,-,5,0.38,-,-,-,-
2016,27,栃木県,7,0.09,1,,15,0.31,93,1.94,95,1.98,9,0.19,36,0.75,57,1.19,17,0.35,-,-,71,1.48,35,0.73,-,-,10,0.83,-,-,-,-,7,1.00,-,-,-,-
2016,27,群馬県,-,-,1,,32,0.55,162,2.79,250,4.31,17,0.29,7,0.12,51,0.88,34,0.59,2,0.03,157,2.71,42,0.72,-,-,14,1.00,-,-,-,-,9,1.13,-,-,1,0.13
2016,27,埼玉県,2,0.01,11,,121,0.75,557,3.46,901,5.60,95,0.59,122,0.76,46,0.29,97,0.60,5,0.03,551,3.42,294,1.83,2,0.05,28,0.68,-,-,2,0.20,10,1.00,-,-,-,-
