年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当
2021,38,総数,3,0.00,2398,0.76,280,0.09,957,0.30,5916,1.87,255,0.08,3109,0.98,31,0.01,994,0.31,1326,0.42,138,0.04,2,0.00,129,0.19,5,0.01,9,0.02,5,0.01,-,-,-,-
2021,38,北海道,-,-,437,3.12,19,0.14,79,0.56,58,0.41,8,0.06,5,0.04,2,0.01,14,0.10,1,0.01,4,0.03,-,-,1,0.04,-,-,-,-,-,-,-,-,-,-
2021,38,青森県,-,-,12,0.29,-,-,5,0.12,51,1.21,5,0.12,-,-,-,-,17,0.40,10,0.24,2,0.05,-,-,1,0.09,-,-,-,-,-,-,-,-,-,-
2021,38,岩手県,-,-,27,0.66,3,0.07,18,0.44,61,1.49,3,0.07,121,2.95,-,-,10,0.24,10,0.24,3,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021,38,宮城県,-,-,50,0.86,4,0.07,11,0.19,118,2.03,8,0.14,41,0.71,-,-,26,0.45,7,0.12,3,0.05,-,-,1,0.08,-,-,-,-,1,0.08,-,-,-,-
2021,38,秋田県,-,-,1,0.03,3,0.09,14,0.41,23,0.68,1,0.03,1,0.03,-,-,1,0.03,3,0.09,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
2021,38,山形県,-,-,27,0.93,9,0.31,28,0.97,53,1.83,3,0.10,5,0.17,-,-,12,0.41,3,0.10,1,0.03,-,-,1,0.13,-,-,-,-,-,-,-,-,-,-
2021,38,福島県,-,-,148,2.96,2,0.04,18,0.36,60,1.20,6,0.12,2,0.04,2,0.04,22,0.44,12,0.24,3,0.06,-,-,4,0.31,-,-,-,-,-,-,-,-,-,-
2021,38,茨城県,-,-,33,0.44,3,0.04,30,0.40,86,1.15,2,0.03,3,0.04,1,0.01,19,0.25,21,0.28,1,0.01,-,-,8,0.47,-,-,-,-,-,-,-,-,-,-
2021,38,栃木県,-,-,23,0.48,1,0.02,14,0.29,35,0.73,1,0.02,4,0.08,1,0.02,11,0.23,7,0.15,4,0.08,-,-,5,0.42,1,0.14,1,0.14,-,-,-,-,-,-
