年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当,COVID-19_報告,COVID-19_定当
2023,38,総数,35021,7.09,736,0.23,4126,1.31,4265,1.36,7891,2.51,240,0.08,4149,1.32,57,0.02,635,0.20,1749,0.56,153,0.05,8,0.01,470,0.68,8,0.02,10,0.02,20,0.04,-,-,-,-,54346,11.01
2023,38,北海道,314,1.40,59,0.42,109,0.78,195,1.40,160,1.15,10,0.07,72,0.52,2,0.01,24,0.17,131,0.94,2,0.01,-,-,5,0.17,-,-,-,-,-,-,-,-,-,-,2302,10.28
2023,38,青森県,20,0.33,2,0.05,5,0.13,10,0.26,79,2.08,2,0.05,32,0.84,-,-,4,0.11,26,0.68,1,0.03,-,-,1,0.10,-,-,-,-,1,0.17,-,-,-,-,600,10.00
2023,38,岩手県,56,0.89,14,0.35,15,0.38,46,1.15,147,3.68,1,0.03,18,0.45,-,-,9,0.23,17,0.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,757,12.02
2023,38,宮城県,503,5.53,23,0.42,18,0.33,33,0.60,116,2.11,9,0.16,121,2.20,1,0.02,11,0.20,31,0.56,3,0.05,-,-,3,0.25,-,-,-,-,1,0.10,-,-,-,-,1049,11.53
2023,38,秋田県,75,1.44,15,0.44,3,0.09,5,0.15,63,1.85,2,0.06,26,0.76,1,0.03,4,0.12,14,0.41,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,469,9.02
2023,38,山形県,60,1.40,37,1.32,3,0.11,31,1.11,49,1.75,4,0.14,42,1.50,-,-,13,0.46,67,2.39,2,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,314,7.30
2023,38,福島県,341,4.16,38,0.78,17,0.35,50,1.02,59,1.20,5,0.10,179,3.65,1,0.02,14,0.29,59,1.20,1,0.02,-,-,5,0.38,-,-,-,-,-,-,-,-,-,-,918,11.20
2023,38,茨城県,1321,11.01,14,0.19,107,1.43,115,1.53,140,1.87,2,0.03,68,0.91,1,0.01,12,0.16,24,0.32,1,0.01,-,-,26,1.53,-,-,-,-,4,0.31,-,-,-,-,1743,14.53
2023,38,栃木県,251,3.30,15,0.31,31,0.65,33,0.69,41,0.85,2,0.04,109,2.27,-,-,17,0.35,23,0.48,3,0.06,-,-,6,0.50,-,-,-,-,-,-,-,-,-,-,884,11.63
2023,38,群馬県,198,2.28,9,0.17,65,1.20,26,0.48,152,2.81,1,0.02,84,1.56,-,-,12,0.22,27,0.50,2,0.04,-,-,4,0.29,-,-,-,-,-,-,-,-,-,-,818,9.40
2023,38,埼玉県,2617,10.10,20,0.12,182,1.12,384,2.37,569,3.51,14,0.09,257,1.59,5,0.03,30,0.19,68,0.42,9,0.06,-,-,29,0.69,1,0.09,1,0.09,1,0.09,-,-,-,-,3268,12.62
2023,38,千葉県,3089,15.14,5,0.04,132,1.04,147,1.16,379,2.98,9,0.07,154,1.21,-,-,18,0.14,28,0.22,6,0.05,1,0.03,10,0.29,-,-,1,0.11,-,-,-,-,-,-,2944,14.43
2023,38,東京都,5060,12.19,14,0.05,403,1.55,383,1.47,717,2.76,33,0.13,429,1.65,11,0.04,52,0.20,122,0.47,11,0.04,-,-,38,0.97,3,0.12,-,-,1,0.04,-,-,-,-,3688,8.89
2023,38,神奈川県,3204,8.85,30,0.13,160,0.70,244,1.06,441,1.92,30,0.13,279,1.21,4,0.02,37,0.16,72,0.31,17,0.07,-,-,97,1.98,-,-,-,-,1,0.08,-,-,-,-,3566,9.85
2023,38,新潟県,202,2.35,14,0.25,34,0.62,45,0.82,106,1.93,1,0.02,159,2.89,1,0.02,14,0.25,47,0.85,2,0.04,-,-,2,0.20,-,-,-,-,-,-,-,-,-,-,813,9.45
2023,38,富山県,74,1.54,10,0.34,16,0.55,60,2.07,96,3.31,-,-,82,2.83,-,-,8,0.28,20,0.69,2,0.07,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-,560,11.67
2023,38,石川県,106,2.21,10,0.34,14,0.48,36,1.24,112,3.86,4,0.14,42,1.45,2,0.07,3,0.10,12,0.41,1,0.03,-,-,3,0.43,-,-,-,-,1,0.20,-,-,-,-,567,11.81
2023,38,福井県,38,0.97,11,0.44,41,1.64,39,1.56,79,3.16,1,0.04,52,2.08,1,0.04,3,0.12,8,0.32,2,0.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,321,8.23
2023,38,山梨県,168,4.10,-,-,16,0.67,6,0.25,63,2.63,1,0.04,19,0.79,-,-,8,0.33,7,0.29,1,0.04,-,-,3,0.33,-,-,-,-,-,-,-,-,-,-,417,10.17
2023,38,長野県,250,2.87,15,0.28,10,0.19,43,0.81,114,2.15,2,0.04,24,0.45,-,-,5,0.09,47,0.89,5,0.09,-,-,15,1.50,-,-,-,-,-,-,-,-,-,-,904,10.39
2023,38,岐阜県,230,2.64,5,0.09,27,0.51,40,0.75,66,1.25,1,0.02,24,0.45,-,-,12,0.23,19,0.36,1,0.02,-,-,5,0.45,-,-,-,-,2,0.40,-,-,-,-,1326,15.24
2023,38,静岡県,999,7.19,18,0.20,64,0.72,76,0.85,189,2.12,4,0.04,47,0.53,6,0.07,21,0.24,25,0.28,-,-,-,-,10,0.45,-,-,-,-,4,0.40,-,-,-,-,1701,12.24
2023,38,愛知県,1665,8.54,19,0.10,177,0.97,217,1.19,349,1.92,6,0.03,64,0.35,2,0.01,31,0.17,37,0.20,5,0.03,-,-,7,0.20,1,0.07,1,0.07,-,-,-,-,-,-,3239,16.61
2023,38,三重県,337,4.75,7,0.16,48,1.07,30,0.67,131,2.91,4,0.09,33,0.73,-,-,12,0.27,41,0.91,1,0.02,-,-,3,0.25,-,-,-,-,-,-,-,-,-,-,733,10.32
2023,38,滋賀県,281,4.68,6,0.17,15,0.42,43,1.19,81,2.25,2,0.06,27,0.75,-,-,8,0.22,2,0.06,2,0.06,-,-,1,0.13,-,-,-,-,-,-,-,-,-,-,590,9.83
2023,38,京都府,596,4.77,12,0.16,178,2.34,127,1.67,102,1.34,4,0.05,32,0.42,2,0.03,5,0.07,13,0.17,2,0.03,-,-,1,0.06,-,-,-,-,-,-,-,-,-,-,1327,10.62
2023,38,大阪府,1534,5.03,56,0.29,695,3.55,389,1.98,486,2.48,13,0.07,91,0.46,1,0.01,33,0.17,50,0.26,12,0.06,-,-,34,0.65,-,-,-,-,1,0.06,-,-,-,-,2677,8.78
2023,38,兵庫県,1066,5.36,37,0.29,240,1.86,154,1.19,382,2.96,7,0.05,106,0.82,1,0.01,19,0.15,86,0.67,8,0.06,5,0.14,29,0.83,1,0.07,2,0.14,-,-,-,-,-,-,1944,9.77
2023,38,奈良県,237,4.31,7,0.21,77,2.26,106,3.12,99,2.91,1,0.03,17,0.50,-,-,4,0.12,16,0.47,1,0.03,-,-,8,0.80,-,-,-,-,-,-,-,-,-,-,610,11.09
2023,38,和歌山県,172,3.51,12,0.40,44,1.47,21,0.70,59,1.97,1,0.03,4,0.13,-,-,5,0.17,14,0.47,-,-,-,-,3,0.75,1,0.09,1,0.09,-,-,-,-,-,-,467,9.53
2023,38,鳥取県,155,5.34,10,0.53,-,-,60,3.16,48,2.53,2,0.11,40,2.11,2,0.11,2,0.11,14,0.74,1,0.05,-,-,1,0.20,-,-,-,-,-,-,-,-,-,-,270,9.31
2023,38,島根県,159,4.18,9,0.39,9,0.39,9,0.39,61,2.65,-,-,61,2.65,-,-,6,0.26,9,0.39,2,0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,366,9.63
2023,38,岡山県,415,4.94,8,0.15,17,0.31,82,1.52,165,3.06,1,0.02,68,1.26,-,-,12,0.22,27,0.50,1,0.02,-,-,6,0.50,-,-,-,-,-,-,-,-,-,-,973,11.58
2023,38,広島県,266,2.38,11,0.16,31,0.44,110,1.57,154,2.20,5,0.07,145,2.07,-,-,15,0.21,50,0.71,6,0.09,-,-,17,0.89,-,-,-,-,1,0.05,-,-,-,-,1073,9.58
2023,38,山口県,716,10.69,11,0.26,23,0.53,96,2.23,126,2.93,-,-,95,2.21,-,-,13,0.30,38,0.88,9,0.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,704,10.51
2023,38,徳島県,332,8.97,-,-,28,1.22,5,0.22,53,2.30,2,0.09,17,0.74,-,-,5,0.22,15,0.65,-,-,-,-,-,-,-,-,1,0.14,-,-,-,-,-,-,333,9.00
2023,38,香川県,171,3.64,7,0.25,44,1.57,15,0.54,121,4.32,1,0.04,35,1.25,1,0.04,7,0.25,16,0.57,-,-,-,-,2,0.40,-,-,-,-,-,-,-,-,-,-,368,7.83
2023,38,愛媛県,858,14.07,8,0.22,81,2.19,62,1.68,141,3.81,4,0.11,36,0.97,-,-,6,0.16,24,0.65,-,-,-,-,13,1.63,-,-,-,-,-,-,-,-,-,-,643,10.54
2023,38,高知県,137,3.11,17,0.65,21,0.81,21,0.81,40,1.54,13,0.50,49,1.88,1,0.04,5,0.19,26,1.00,-,-,-,-,1,0.33,-,-,1,0.13,-,-,-,-,-,-,513,11.66
2023,38,福岡県,1819,9.19,29,0.24,533,4.44,289,2.41,434,3.62,15,0.13,338,2.82,1,0.01,40,0.33,191,1.59,12,0.10,1,0.04,47,1.81,-,-,1,0.07,-,-,-,-,-,-,2129,10.75
2023,38,佐賀県,326,8.36,-,-,55,2.39,29,1.26,33,1.43,9,0.39,122,5.30,-,-,7,0.30,34,1.48,-,-,-,-,1,0.25,-,-,-,-,1,0.17,-,-,-,-,450,11.54
2023,38,長崎県,579,8.27,27,0.61,60,1.36,76,1.73,64,1.45,2,0.05,102,2.32,-,-,11,0.25,30,0.68,-,-,1,0.13,6,0.75,-,-,-,-,-,-,-,-,-,-,860,12.29
2023,38,熊本県,721,9.01,16,0.32,38,0.76,88,1.76,198,3.96,-,-,109,2.18,8,0.16,12,0.24,37,0.74,5,0.10,-,-,2,0.22,-,-,1,0.07,-,-,-,-,-,-,1019,12.74
2023,38,大分県,800,13.79,12,0.33,85,2.36,42,1.17,286,7.94,4,0.11,51,1.42,1,0.03,19,0.53,34,0.94,5,0.14,-,-,4,0.80,-,-,-,-,-,-,-,-,-,-,726,12.52
2023,38,宮崎県,812,14.00,15,0.42,10,0.28,64,1.78,139,3.86,4,0.11,96,2.67,-,-,12,0.33,10,0.28,1,0.03,-,-,1,0.17,-,-,-,-,1,0.14,-,-,-,-,647,11.16
2023,38,鹿児島県,478,5.31,15,0.29,33,0.63,35,0.67,152,2.92,-,-,68,1.31,1,0.02,7,0.13,28,0.54,3,0.06,-,-,5,0.71,-,-,-,-,-,-,-,-,-,-,1132,12.58
2023,38,沖縄県,1213,22.46,7,0.23,112,3.61,48,1.55,50,1.61,2,0.06,24,0.77,-,-,8,0.26,13,0.42,4,0.13,-,-,15,1.88,1,0.14,-,-,-,-,-,-,-,-,624,11.56
2023,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
