年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当,COVID-19_報告,COVID-19_定当
2026,04,総数,63326,16.64,1803,0.78,739,0.32,6622,2.87,19741,8.55,960,0.42,149,0.06,597,0.26,559,0.24,37,0.02,70,0.03,8,0.01,309,0.45,9,0.02,15,0.03,180,0.37,6,0.01,14,0.03,7573,1.99
2026,04,北海道,989,5.89,162,1.59,30,0.29,525,5.15,548,5.37,63,0.62,9,0.09,40,0.39,12,0.12,-,-,-,-,-,-,5,0.17,-,-,-,-,12,0.52,-,-,-,-,1012,6.02
2026,04,青森県,524,10.08,18,0.53,10,0.29,59,1.74,172,5.06,10,0.29,-,-,1,0.03,6,0.18,-,-,2,0.06,-,-,1,0.10,1,0.17,-,-,2,0.33,-,-,-,-,192,3.69
2026,04,岩手県,330,7.86,38,1.41,4,0.15,103,3.81,248,9.19,18,0.67,2,0.07,24,0.89,11,0.41,-,-,1,0.04,-,-,2,0.14,-,-,-,-,3,0.16,-,-,-,-,179,4.26
2026,04,宮城県,1367,24.85,27,0.87,11,0.35,112,3.61,165,5.32,12,0.39,1,0.03,12,0.39,5,0.16,-,-,-,-,-,-,2,0.17,-,-,-,-,4,0.40,-,-,-,-,231,4.20
2026,04,秋田県,233,9.32,10,0.77,4,0.31,31,2.38,86,6.62,10,0.77,-,-,7,0.54,4,0.31,2,0.15,-,-,1,0.14,4,0.57,-,-,-,-,2,0.25,-,-,-,-,94,3.76
2026,04,山形県,453,11.62,53,2.04,19,0.73,135,5.19,216,8.31,13,0.50,2,0.08,15,0.58,7,0.27,-,-,1,0.04,-,-,6,0.75,-,-,-,-,1,0.10,-,-,-,-,199,5.10
2026,04,福島県,744,15.50,46,1.64,5,0.18,60,2.14,183,6.54,18,0.64,-,-,1,0.04,16,0.57,-,-,1,0.04,-,-,8,0.62,-,-,-,-,-,-,-,-,1,0.14,214,4.46
2026,04,茨城県,1294,19.31,22,0.59,22,0.59,173,4.68,395,10.68,15,0.41,-,-,-,-,6,0.16,-,-,-,-,-,-,27,1.59,-,-,-,-,3,0.23,-,-,-,-,218,3.25
2026,04,栃木県,660,14.04,23,0.85,10,0.37,107,3.96,230,8.52,8,0.30,-,-,1,0.04,7,0.26,-,-,-,-,-,-,11,0.92,-,-,-,-,7,1.00,-,-,-,-,277,5.89
2026,04,群馬県,452,10.04,27,1.08,9,0.36,58,2.32,424,16.96,18,0.72,-,-,3,0.12,10,0.40,-,-,2,0.08,-,-,3,0.30,-,-,-,-,10,1.11,-,-,2,0.22,105,2.33
2026,04,埼玉県,3903,22.18,54,0.49,26,0.23,405,3.65,1279,11.52,48,0.43,8,0.07,16,0.14,30,0.27,1,0.01,8,0.07,1,0.02,10,0.23,-,-,2,0.17,2,0.17,-,-,-,-,484,2.75
2026,04,千葉県,4355,23.80,24,0.22,11,0.10,404,3.64,1035,9.32,37,0.33,-,-,15,0.14,15,0.14,1,0.01,4,0.04,-,-,11,0.32,1,0.11,-,-,3,0.33,1,0.11,1,0.11,326,1.78
2026,04,東京都,5779,13.83,72,0.27,41,0.16,567,2.16,3432,13.05,96,0.37,5,0.02,10,0.04,66,0.25,2,0.01,11,0.04,-,-,5,0.13,3,0.12,-,-,4,0.16,-,-,2,0.08,434,1.04
2026,04,神奈川県,4432,18.24,45,0.32,20,0.14,404,2.87,1617,11.47,57,0.40,2,0.01,9,0.06,25,0.18,-,-,5,0.04,-,-,33,0.69,1,0.08,4,0.33,5,0.42,-,-,-,-,429,1.77
2026,04,新潟県,423,7.69,18,0.60,3,0.10,159,5.30,81,2.70,14,0.47,1,0.03,22,0.73,9,0.30,-,-,1,0.03,-,-,1,0.10,-,-,-,-,8,0.62,-,-,-,-,190,3.45
2026,04,富山県,418,8.89,12,0.41,13,0.45,125,4.31,276,9.52,8,0.28,-,-,2,0.07,11,0.38,2,0.07,-,-,-,-,1,0.14,-,-,-,-,3,0.60,1,0.20,-,-,83,1.77
2026,04,石川県,461,9.81,31,1.11,9,0.32,76,2.71,320,11.43,20,0.71,-,-,2,0.07,2,0.07,-,-,-,-,-,-,10,1.43,-,-,-,-,1,0.20,-,-,-,-,75,1.60
2026,04,福井県,427,10.95,28,1.12,12,0.48,82,3.28,185,7.40,38,1.52,21,0.84,5,0.20,5,0.20,7,0.28,1,0.04,-,-,-,-,1,0.17,1,0.17,4,0.67,-,-,-,-,44,1.13
2026,04,山梨県,778,22.23,13,0.62,-,-,18,0.86,130,6.19,1,0.05,-,-,8,0.38,-,-,-,-,-,-,-,-,1,0.11,-,-,-,-,2,0.20,-,-,1,0.10,109,3.11
2026,04,長野県,599,11.98,23,0.82,4,0.14,80,2.86,282,10.07,13,0.46,1,0.04,4,0.14,1,0.04,-,-,1,0.04,-,-,14,1.40,-,-,-,-,4,0.33,-,-,-,-,211,4.22
2026,04,岐阜県,741,16.47,13,0.48,5,0.19,43,1.59,384,14.22,3,0.11,-,-,7,0.26,5,0.19,-,-,-,-,-,-,-,-,-,-,1,0.20,5,1.00,-,-,-,-,90,2.00
2026,04,静岡県,3160,22.73,29,0.33,15,0.17,140,1.57,477,5.36,19,0.21,4,0.04,36,0.40,14,0.16,-,-,2,0.02,-,-,-,-,-,-,1,0.10,3,0.30,-,-,-,-,282,2.03
2026,04,愛知県,3505,21.50,59,0.58,12,0.12,153,1.51,657,6.50,17,0.17,2,0.02,33,0.33,25,0.25,-,-,1,0.01,-,-,6,0.17,-,-,-,-,13,0.87,1,0.07,1,0.07,291,1.79
2026,04,三重県,1645,23.84,46,1.07,10,0.23,86,2.00,304,7.07,6,0.14,-,-,7,0.16,8,0.19,-,-,-,-,-,-,2,0.17,-,-,-,-,4,0.44,-,-,-,-,121,1.75
2026,04,滋賀県,685,11.81,30,0.86,5,0.14,83,2.37,211,6.03,22,0.63,-,-,4,0.11,5,0.14,-,-,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,0.90
2026,04,京都府,1038,15.73,38,0.97,38,0.97,171,4.38,339,8.69,30,0.77,-,-,3,0.08,5,0.13,-,-,1,0.03,-,-,3,0.17,-,-,-,-,3,0.43,-,-,-,-,119,1.80
